test push
//========================================
Theta Lambda Entropy UtilMaxVariance UtilTimeAvgVariance
0.150000 40 4.115218 0.006742 0.000005
0.200000 40 3.924904 0.008798 0.000007
0.250000 40 3.657404 0.010203 0.000008
0.300000 40 3.169018 0.012391 0.000010
0.350000 40 2.784831 0.014793 0.000012
0.400000 40 2.809815 0.017052 0.000014
0.450000 40 2.942701 0.020441 0.000014
0.500000 40 2.851160 0.022917 0.000017
0.550000 40 2.827780 0.026215 0.000017
0.600000 40 2.807620 0.028241 0.000019
0.650000 40 2.889769 0.029347 0.000020
0.700000 40 2.957418 0.030767 0.000022
0.750000 40 2.835881 0.032890 0.000023
0.800000 40 2.901116 0.033218 0.000024
0.850000 40 2.972311 0.035569 0.000025
0.900000 40 2.815355 0.034879 0.000026
0.950000 40 2.481184 0.036672 0.000027
0.000000 45 -2.000000 0.000276 0.000000
0.050000 45 4.384766 0.001750 0.000002
0.100000 45 4.251689 0.003527 0.000003
0.150000 45 4.095422 0.006506 0.000005
0.200000 45 3.932443 0.008015 0.000006
0.250000 45 3.725401 0.009884 0.000008
0.300000 45 3.212832 0.012081 0.000010
0.350000 45 2.755480 0.014300 0.000012
0.400000 45 2.765395 0.016937 0.000013
0.450000 45 2.875810 0.019760 0.000015
0.500000 45 2.791206 0.021937 0.000017
0.550000 45 2.732822 0.025401 0.000018
0.600000 45 2.739200 0.028151 0.000019
0.650000 45 2.836189 0.029584 0.000020
0.700000 45 2.835084 0.030735 0.000022
0.750000 45 2.923660 0.032258 0.000022
0.800000 45 2.914801 0.033659 0.000024
0.850000 45 3.051373 0.035464 0.000023
0.900000 45 2.751757 0.034037 0.000025
0.950000 45 2.392698 0.036326 0.000026
0.000000 50 -2.000000 0.000245 0.000000
0.050000 50 4.246366 0.001619 0.000001
0.100000 50 4.232385 0.003581 0.000003
0.150000 50 4.081327 0.006183 0.000004
0.200000 50 3.983750 0.008158 0.000006
0.250000 50 3.639025 0.009568 0.000008
0.300000 50 3.176768 0.012109 0.000010
0.350000 50 2.772130 0.014117 0.000012
0.400000 50 2.752097 0.017075 0.000013
0.450000 50 2.809388 0.019651 0.000015
0.500000 50 2.722892 0.022097 0.000016
0.550000 50 2.699594 0.024858 0.000018
0.600000 50 2.835052 0.027598 0.000019
0.650000 50 2.771290 0.029198 0.000020
0.700000 50 2.827457 0.030631 0.000021
0.750000 50 2.781146 0.031662 0.000022
0.800000 50 2.844960 0.033119 0.000023
0.850000 50 2.837785 0.034812 0.000025
0.900000 50 2.645335 0.034368 0.000026
0.950000 50 2.505264 0.036243 0.000027
0.000000 6 -2.000000 0.007328 0.000004
0.050000 6 4.218383 0.010841 0.000005
0.100000 6 4.137487 0.012330 0.000006
0.150000 6 3.843986 0.014502 0.000007
0.200000 6 3.738163 0.017095 0.000008
0.250000 6 3.919340 0.020794 0.000013
0.300000 6 3.840665 0.023616 0.000015
0.350000 6 3.849935 0.025276 0.000016
0.400000 6 3.826123 0.027908 0.000018
0.450000 6 3.819057 0.030147 0.000019
0.500000 6 3.858529 0.031490 0.000020
0.550000 6 3.801895 0.032239 0.000021
