time,PacketBouncewithTCP.client.tcp.SHI: reordering density
0.000045568,0
0.00007264,0
0.000077552,0
0.000107024,0
0.000116848,0
0.00012176,0
0.000131584,0
0.00017088,0
0.000180704,0
0.000190528,0
0.000200352,0
0.000210176,0
0.00022,0
0.000229824,0
0.000239648,0
0.000298592,0
0.000308416,0
0.00031824,0
0.000328064,0
0.000337888,0
0.000347712,0
0.000357536,0
0.00036736,0
0.000377184,0
0.000387008,0
0.000406656,0
0.000411568,0
0.000426304,0
0.000431216,0
0.000445952,0
0.000450864,0
0.000554016,0
0.00056384,0
0.000573664,0
0.000583488,0
0.000598224,-28
0.00061296,-29
0.000617872,2
0.000627696,-29
0.000642432,-30
0.000647344,-30
0.000657168,-30
0.00066208,-30
0.000671264,-30
0.000681088,-30
0.000690912,-30
0.000715472,10
0.000725296,10
0.00073512,10
0.000744944,10
0.000754768,10
0.000764592,10
0.000774416,10
0.000794064,-30
0.000798976,11
0.0008088,-30
0.000823536,-31
0.00083336,-31
0.000843184,-31
0.0008544,-31
0.000864224,-31
0.000869136,-31
0.000884688,18
0.000899424,18
0.000900912,-29
0.000910736,19
0.00092056,19
0.000930384,19
0.000940208,19
0.000950032,19
0.000964768,-29
0.000974592,-30
0.000989328,-30
0.001004064,-31
0.001013888,-31
0.001033536,-32
0.001077744,25
0.001082656,25
0.001087568,25
0.001097392,25
0.00111704,25
0.001126864,25
0.001131776,-29
0.001151424,-31
0.001156336,-31
0.001161248,28
0.001175984,-31
0.001185808,-32
0.00119072,-32
0.001192016,-32
0.001211664,32
0.001216576,-31
0.001221488,-31
0.001222304,-31
0.00123704,35
0.001246864,35
0.001251776,35
0.0012616,35
0.001465624,34
0.001470536,33
0.001475448,32
0.00149204,25
0.001496152,-25
0.001525624,-27
0.001535448,-27
0.001545272,-27
0.00156492,-27
0.001569832,-27
0.001574744,-27
0.001594392,-27
0.001599304,-27
0.001604216,-27
0.001623864,-27
0.001628776,-27
0.001633688,-27
0.001653336,-27
0.001658248,-27
0.00166316,-27
0.001681624,-27
0.001706184,42
0.001725832,42
0.001741608,42
0.00174652,42
0.001751432,42
0.001756344,42
0.001766168,41
0.001775992,40
0.001791544,33
0.001796456,33
0.00180628,33
0.001811192,33
0.001825928,33
0.001840664,32
0.001845576,30
0.0018554,28
0.001867176,27
0.001886824,27
0.001891736,-25
0.00190156,-25
0.001931032,-27
0.001940856,-27
0.001955592,-27
0.00197524,-27
0.001985064,-27
0.0019998,-27
0.002019448,-27
